company_name,symbol,scripcode
Asian Paints Ltd.,ASIANPAINT,500820.0
Britannia Industries Ltd.,BRITANNIA,500825.0
Colgate-Palmolive (India) Ltd.,COLPAL,500830.0
EIH Ltd.,EIHOTEL,500840.0
The Indian Hotels Company Ltd.,INDHOTEL,500850.0
Castrol India Ltd.,CASTROLIND,500870.0
ITC Ltd.,ITC,500875.0
Apollo Tyres Ltd.,APOLLOTYRE,500877.0
Ceat Ltd.,CEATLTD,500878.0
Modi Rubber Ltd.,MODIRUBBER,500890.0
Finolex Industries Ltd.,FINPIPE,500940.0
Peoples Investments Ltd.,,501144.0
Dalal Street Investments Ltd.,,501148.0
Centrum Capital Ltd.,CENTRUM,501150.0
Kartik Investments Trust Ltd.,,501151.0
TCI Finance Ltd.,TCIFINANCE,501242.0
Kratos Energy & Infrastructure Ltd.,,501261.0
Industrial Investment Trust Ltd.,IITL,501295.0
Industrial & Prudential Investment Company Ltd.,,501298.0
Tata Investment Corporation Ltd.,TATAINVEST,501301.0
Jayabharat Credit Ltd.,,501311.0
Prismx Global Ventures Ltd.,,501314.0
The Motor & General Finance Ltd.,MOTOGENFIN,501343.0
Rapid Investments Ltd.,,501351.0
Walchand Peoplefirst Ltd.,,501370.0
Swastik Safe Deposit & Investments Ltd.,,501386.0
WH Brady & Company Ltd.,,501391.0
TechNVision Ventures Ltd.,,501421.0
Shaily Engineering Plastics Ltd.,SHAILY,501423.0
Bombay Burmah Trading Corporation Ltd.,BBTC,501425.0
Bombay Cycle & Motor Agency Ltd.,,501430.0
Greaves Cotton Ltd.,GREAVESCOT,501455.0
Muller & Phipps (India) Ltd.,,501477.0
Springform Technology Ltd.,,501479.0
Amalgamated Electricity Company Ltd.,,501622.0
Anand Projects Ltd.,,501630.0
Indianivesh Ltd.,,501700.0
Coastal Corporation Ltd.,COASTCORP,501831.0
Chowgule Steamships Ltd.,CHOWGULSTM,501833.0
Global Offshore Services Ltd.,GLOBOFFS,501848.0
Dhenu Buildcon Infra Ltd.,,501945.0
ASI Industries Ltd.,ASOCSTONE,502015.0
Sagar Cements Ltd.,SAGCEM,502090.0
Hemadri Cements Ltd.,,502133.0
Deccan Cements Ltd.,DECCANCE,502137.0
Mangalam Cement Ltd.,MANGLMCEM,502157.0
NCL Industries Ltd.,NCLIND,502168.0
Saurashtra Cement Ltd.,SAURASHCEM,502175.0
Shree Digvijay Cement Company Ltd.,SHREDIGCEM,502180.0
Borosil Renewables Ltd.,BORORENEW,502219.0
Lerthai Finance Ltd.,,502250.0
Raasi Refractories Ltd.,,502271.0
Triveni Glass Ltd.,TRIVENSHET,502281.0
Nilachal Refractories Ltd.,,502294.0
Andhra Paper Ltd.,ANDHRAPAP,502330.0
Balkrishna Industries Ltd.,BALKRISIND,502355.0
Orient Paper & Industries Ltd.,ORIENTPPR,502420.0
Citadel Realty & Developers Ltd.,,502445.0
Rollatainers Ltd.,ROLLT,502448.0
Seshasayee Paper and Boards Ltd.,SESHAPAPER,502450.0
Nath Industries Ltd.,,502587.0
Vapi Enterprise Ltd.,,502589.0
DCM Ltd.,DCM,502820.0
Forbes & Company Ltd.,FORBESGOK,502865.0
HP Cotton Textile Mills Ltd.,,502873.0
United Interactive Ltd.,,502893.0
Jamshri Realty Ltd.,,502901.0
Katare Spinning Mills Ltd.,,502933.0
Kesoram Industries Ltd.,KESORAMIND,502937.0
Lakshmi Mills Company Ltd.,LAKSHMIMIL,502958.0
Vardhman Textiles Ltd.,VTL,502986.0
Peninsula Land Ltd.,PENINLAND,503031.0
Pasupati Spinning & Weaving Mills Ltd.,PASUPATSPG,503092.0
The Phoenix Mills Ltd.,PHOENIXLTD,503100.0
Marathon Nextgen Realty Ltd.,MARATHON,503101.0
Raja Bahadur International Ltd.,,503127.0
Reliance Chemotex Industries Ltd.,RELCHEMQ,503162.0
The Ruby Mills Ltd.,RUBYMILLS,503169.0
Simplex Realty Ltd.,,503229.0
Swan Energy Ltd.,SWANENERGY,503310.0
Victoria Mills Ltd.,,503349.0
Svaraj Trading & Agencies Ltd.,,503624.0
Kshitij Investments Ltd.,,503626.0
Shree Salasar Investments Ltd.,,503635.0
Zodiac Ventures Ltd.,,503641.0
Veer Energy & Infrastructure Ltd.,,503657.0
SW Investments Ltd.,,503659.0
KK Fincorp Ltd.,,503669.0
Unijolly Investments Company Ltd.,,503671.0
Wagend Infra Venture Ltd.,,503675.0
Mediaone Global Entertainment Ltd.,,503685.0
Banswara Syntex Ltd.,BANSWRAS,503722.0
Modella Woollens Ltd.,,503772.0
Modipon Ltd.,MODIPON,503776.0
Shri Dinesh Mills Ltd.,SHRIDINESH,503804.0
SRF Ltd.,SRF,503806.0
Siyaram Silk Mills Ltd.,SIYSIL,503811.0
Swadeshi Polytex Ltd.,,503816.0
Shree Rajasthan Syntex Ltd.,SHRERAJSYN,503837.0
Shree Manufacturing Company Ltd.,,503863.0
Bharat Bijlee Ltd.,BBL,503960.0
Elpro International Ltd.,ELPROINTL,504000.0
GEE Ltd.,,504028.0
Hind Rectifiers Ltd.,HIRECT,504036.0
Indo-National Ltd.,NIPPOBATRY,504058.0
Zensar Technologies Ltd.,ZENSARTECH,504067.0
Jyoti Ltd.,,504076.0
JSL Industries Ltd.,,504080.0
Kaycee Industries Ltd.,,504084.0
Indokem Ltd.,INDOKEM,504092.0
Panasonic Energy India Company Ltd.,LAKHNNATNL,504093.0
Nelco Ltd.,NELCO,504112.0
Permanent Magnets Ltd.,PERMAGNET,504132.0
High Energy Batteries (India) Ltd.,,504176.0
Standard Batteries Ltd.,STANDRDBAT,504180.0
Universal Cables Ltd.,UNIVCABLES,504212.0
W.S. Industries (India) Ltd.,WSI,504220.0
Delton Cables Ltd.,,504240.0
